effDif_Rate,aveInf_Rate_1D
0.000000,inf
0.020000,105.113846
0.040000,52.556923
0.060000,35.037949
0.080000,26.278462
0.100000,21.022769
0.120000,17.518974
0.140000,15.016264
0.160000,13.139231
0.180000,11.679316
0.200000,10.511385
0.220000,9.555804
0.240000,8.759487
0.260000,8.085680
0.280000,7.508132
0.300000,7.007590
0.320000,6.569615
0.340000,6.183167
0.360000,5.839658
0.380000,5.532308
0.400000,5.255692
0.420000,5.005421
0.440000,4.777902
0.460000,4.570167
0.480000,4.379744
0.500000,4.204554
0.520000,4.042840
0.540000,3.893105
0.560000,3.754066
0.580000,3.624615
0.600000,3.503795
0.620000,3.390769
0.640000,3.284808
0.660000,3.185268
0.680000,3.091584
0.700000,3.003253
0.720000,2.919829
0.740000,2.840915
0.760000,2.766154
0.780000,2.695227
0.800000,2.627846
0.820000,2.563752
0.840000,2.502711
0.860000,2.444508
0.880000,2.388951
0.900000,2.335863
0.920000,2.285084
0.940000,2.236465
0.960000,2.189872
0.980000,2.145181
1.000000,2.102277
1.020000,2.061056
1.040000,2.021420
1.060000,1.983280
1.080000,1.946553
1.100000,1.911161
1.120000,1.877033
1.140000,1.844103
1.160000,1.812308
1.180000,1.781591
1.200000,1.751897
1.220000,1.723178
1.240000,1.695385
1.260000,1.668474
1.280000,1.642404
1.300000,1.617136
1.320000,1.592634
1.340000,1.568863
1.360000,1.545792
1.380000,1.523389
1.400000,1.501626
1.420000,1.480477
1.440000,1.459915
1.460000,1.439916
1.480000,1.420457
1.500000,1.401518
1.520000,1.383077
1.540000,1.365115
1.560000,1.347613
1.580000,1.330555
1.600000,1.313923
1.620000,1.297702
1.640000,1.281876
1.660000,1.266432
1.680000,1.251355
1.700000,1.236633
1.720000,1.222254
1.740000,1.208205
1.760000,1.194476
1.780000,1.181054
1.800000,1.167932
1.820000,1.155097
1.840000,1.142542
1.860000,1.130256
1.880000,1.118232
1.900000,1.106462
1.920000,1.094936
1.940000,1.083648
1.960000,1.072590
1.980000,1.061756
2.000000,1.051138
